Order ID,Product,Category,City,Quantity,Price,Discount,Final Amount,Payment Mode
O088,Product_23,Home,Mumbai,3,3803.0,39,11370,Cash
O089,Product_18,Electronics,Mumbai,3,2819.0,457,8000,Card
O090,Product_5,Clothing,Delhi,2,3337.0,355,6319,Net Banking
O091,Product_15,Books,Delhi,4,2910.0,277,11363,Card
O092,Product_25,Sports,Jaipur,4,3390.0,463,13097,UPI
O093,Product_1,Home,Bengaluru,5,3316.0,244,16336,Net Banking
O094,Product_24,Sports,Mohali,4,4609.0,382,18054,Card
O095,Product_14,Books,Delhi,4,1997.0,139,7849,Net Banking
O096,Product_6,Books,Mumbai,3,3512.0,370,10166,UPI
O097,Product_1,Electronics,Jaipur,4,4823.0,339,18953,Net Banking
O098,Product_2,Home,Chandigarh,2,3982.0,93,7871,Cash
O099,Product_11,Books,Bengaluru,2,3924.0,167,7681,Net Banking
O100,Product_1,Sports,Delhi,3,870.0,240,2370,Cash
