Coin,Market_Cap,Daily_Return,Trading_Volume,Category
Polkadot_56,99248.57,8.51,15034.85,Layer 1
Ethereum_57,2824.21,6.74,28171.53,Payment
Ethereum_58,134639.78,2.71,6666.21,Layer 1
Ethereum_59,219877.93,-2.07,7929.45,Gaming
Polkadot_60,153113.6,19.55,32716.12,Payment
Avalanche_61,75195.0,8.22,46949.55,DeFi
Polkadot_62,29299.45,-11.25,27683.52,Layer 1
Polkadot_63,151405.04,10.12,10219.69,AI
Polkadot_64,126599.56,-6.21,45412.54,Payment
Ethereum_65,158753.97,14.03,2252.13,Layer 1
Solana_66,159459.79,-5.83,37074.48,
Dogecoin_67,140446.26,-11.08,47255.29,AI
Solana_68,136624.78,14.21,29146.35,DeFi
Dogecoin_69,32297.66,-4.21,44954.13,Payment
Ripple_70,52914.1,-6.27,5184.54,Gaming
Dogecoin_71,243472.34,11.23,46291.9,DeFi
Solana_72,244063.41,13.38,44076.74,Payment
Solana_73,184272.84,-3.37,46544.25,AI
Cardano_74,67068.02,12.56,5449.38,Payment
Litecoin_75,55997.21,13.58,23042.15,Layer 1
Cardano_76,56119.43,8.1,19953.38,Layer 1
Ethereum_77,241738.83,-5.23,32092.01,Meme
Avalanche_78,83121.89,-14.03,43858.07,Layer 1
Solana_79,145357.14,19.42,1960.95,Gaming
Dogecoin_80,86748.93,12.52,21847.87,Gaming
Ethereum_81,96606.26,5.18,12773.39,AI
Dogecoin_82,921.97,17.4,26945.68,AI
Cardano_83,91373.26,-12.55,33228.67,Layer 1
Chainlink_84,78821.95,14.68,36001.73,Layer 1
Avalanche_85,77666.52,-0.71,20149.9,Layer 1
Avalanche_86,32258.31,-0.28,47021.17,AI
Solana_87,154070.97,-4.47,27419.46,Payment
Polkadot_88,72084.97,0.05,29020.24,AI
Ripple_89,116514.55,0.48,10724.38,Meme
Solana_90,164883.26,-5.07,33209.5,Gaming
Ripple_91,23800.11,18.32,11781.69,Layer 1
Cardano_92,201737.44,-9.84,2358.38,Meme
Chainlink_93,212509.55,-12.45,20751.33,AI
Chainlink_94,49011.59,9.37,24744.14,DeFi
Solana_95,164186.47,-14.81,37560.68,Payment
Dogecoin_96,55100.86,13.14,34810.79,Meme
Bitcoin_97,139572.75,17.11,6111.86,DeFi
Litecoin_98,167060.64,19.58,29792.84,Meme
Chainlink_99,203844.12,16.22,21365.7,Gaming
Litecoin_100,224353.42,11.03,23759.99,Layer 1
Cardano_101,210045.79,-5.29,38894.86,Meme
Cardano_102,69012.06,-12.29,14322.12,Layer 1
Ripple_103,80267.54,3.91,6961.78,DeFi
Dogecoin_104,173640.48,9.72,3258.23,Meme
Ripple_105,135881.48,-0.45,10381.38,Meme
Dogecoin_106,226257.2,5.44,34791.37,Gaming
Dogecoin_107,119506.44,18.0,14965.7,Meme
Dogecoin_108,134786.03,10.71,40003.42,DeFi
Litecoin_109,55245.7,0.25,1499.79,Layer 1
Dogecoin_110,181183.25,14.42,45981.1,Gaming
Avalanche_111,7228.13,-1.21,28241.38,Payment
Ethereum_112,160866.04,-10.25,23111.84,Payment
Polkadot_113,95086.41,-7.59,16375.95,Meme
Polkadot_114,188126.45,14.12,12650.96,Payment
Litecoin_115,5336.13,3.88,49995.4,Layer 1
Cardano_116,162710.95,12.34,32605.15,Payment
Cardano_117,50240.49,-14.29,7661.5,DeFi
Litecoin_118,167529.98,4.74,10937.33,AI
Polkadot_119,191841.08,-9.13,30382.01,AI
Ethereum_120,194559.08,-9.27,15586.39,Gaming
Bitcoin_121,232257.35,5.15,45405.91,Meme
Dogecoin_122,235396.91,-8.06,29625.29,AI
Cardano_123,25924.38,12.04,42522.15,Gaming
Ethereum_124,199158.69,4.81,2101.4,Gaming
Dogecoin_125,165549.57,-12.59,32394.79,Payment
Dogecoin_126,205671.56,-11.31,48041.34,AI
Litecoin_127,176973.51,0.24,36703.08,AI
Polkadot_128,154170.13,17.19,38743.34,Meme
Dogecoin_129,206520.78,5.74,16149.11,DeFi
Ethereum_130,70092.6,0.78,37536.29,Gaming
Chainlink_131,167213.02,-3.23,24740.61,Layer 1
Solana_132,122143.71,-2.58,12954.7,Layer 1
Chainlink_133,175445.35,-5.33,557.05,DeFi
Ethereum_134,60718.33,-0.78,27781.05,DeFi
Litecoin_135,161652.77,2.18,39657.0,Payment
Polkadot_136,55788.3,9.21,15344.99,Gaming
Ripple_137,118578.49,3.58,21303.92,AI
Avalanche_138,83032.43,9.6,13582.28,Layer 1
Cardano_139,30603.64,-8.26,6021.76,Gaming
Solana_140,48289.47,10.85,13861.16,Gaming
Avalanche_141,149399.29,19.32,41639.79,Layer 1
Cardano_142,90539.83,-4.42,35415.52,DeFi
Polkadot_143,11856.17,-13.09,14642.23,DeFi
Litecoin_144,26095.62,-14.57,14252.75,Meme
Litecoin_145,85506.13,18.79,12661.3,Meme
Ethereum_146,205617.85,-0.98,3750.4,AI
Bitcoin_147,38355.89,13.39,47458.83,Payment
Cardano_148,30053.66,11.76,30335.57,Gaming
Cardano_149,194035.54,-1.69,45429.79,Layer 1
Litecoin_31,204097.8,19.23,26658.67,DeFi
