Student_ID,Course,Hours_Studied,Quiz_Score,Completion_Percentage,Device,Country
ST134,Python,108.7,66.9,94.1,Tablet,Germany
ST135,Python,75.9,30.8,63.7,Tablet,Germany
ST136,SQL,88.0,37.9,77.0,Mobile,UK
ST137,Python,71.0,38.5,55.0,Laptop,UK
ST138,Data Science,91.2,45.3,61.9,Mobile,USA
ST139,Gen AI,12.9,30.0,20.0,Laptop,Canada
ST140,Machine Learning,35.1,30.0,24.2,Laptop,Germany
ST141,Machine Learning,10.9,30.0,20.0,Laptop,Canada
ST142,Data Science,38.5,33.2,30.5,Laptop,USA
ST143,Machine Learning,41.3,30.0,35.4,Laptop,USA
ST144,Gen AI,28.4,30.0,20.0,Tablet,USA
ST145,Python,113.5,58.7,95.8,Laptop,Germany
ST146,Machine Learning,36.1,30.0,20.0,Mobile,Australia
ST147,Python,102.5,63.4,63.9,Tablet,USA
ST148,Python,63.7,39.8,60.1,Mobile,USA
ST149,Data Science,85.3,66.1,73.7,Laptop,Germany
ST150,SQL,54.6,30.0,32.4,Laptop,USA
ST011,Machine Learning,49.4,44.5,31.1,Laptop,India
ST152,SQL,11.9,30.0,20.0,Laptop,UK
ST153,Machine Learning,11.6,30.0,20.0,Laptop,USA
ST154,Python,43.5,35.0,21.6,Mobile,USA
ST155,Gen AI,73.4,50.7,58.9,Laptop,India
ST156,Data Science,100.0,62.1,65.5,Tablet,UK
ST157,Gen AI,58.3,30.0,31.6,Laptop,Germany
ST158,Data Science,79.0,45.8,55.3,Tablet,Canada
ST159,Python,82.3,40.5,61.3,Laptop,India
ST160,Gen AI,9.6,30.0,20.0,Laptop,UK
ST161,Data Science,36.4,31.2,36.6,Laptop,Germany
ST162,Machine Learning,33.8,30.0,22.0,Laptop,India
ST163,Data Science,50.8,35.2,45.1,Mobile,Germany
ST164,Python,52.3,35.7,23.5,Mobile,Australia
ST165,Machine Learning,35.5,30.0,20.0,Mobile,UK
ST166,SQL,94.8,69.6,79.2,Laptop,Canada
ST167,SQL,41.0,34.8,21.3,Mobile,Australia
ST168,Data Science,8.0,30.0,20.0,Laptop,India
ST169,Data Science,113.9,67.4,94.8,Tablet,Canada
ST170,Data Science,31.2,30.0,28.4,Laptop,Germany
ST171,Python,28.1,30.0,20.0,Tablet,Germany
ST172,Data Science,61.4,48.9,51.7,Laptop,Germany
ST173,Data Science,113.9,74.8,99.2,Laptop,USA
ST174,SQL,36.8,30.0,20.0,Mobile,India
ST175,Gen AI,73.9,47.3,61.2,Mobile,UK
ST176,Gen AI,101.5,70.7,88.7,Mobile,India
ST177,SQL,110.6,75.3,81.2,Laptop,UK
ST178,Gen AI,7.9,30.0,20.0,Tablet,Germany
ST179,Machine Learning,49.5,43.1,33.5,Mobile,India
ST180,Machine Learning,103.0,71.2,83.0,Laptop,Canada
ST181,Gen AI,26.2,30.0,29.7,Mobile,Germany
ST182,Python,100.2,60.5,65.0,Mobile,USA
ST183,Python,117.5,63.3,94.8,Mobile,Germany
ST184,Gen AI,48.8,30.0,46.4,Laptop,Australia
ST185,Gen AI,33.0,30.0,20.0,Laptop,UK
ST186,Data Science,114.0,58.3,87.1,Laptop,Canada
ST187,Python,21.5,30.0,20.0,Mobile,Australia
ST188,Machine Learning,30.7,31.1,23.6,Laptop,Canada
ST189,Data Science,41.1,35.6,20.0,Laptop,UK
ST190,Gen AI,39.4,30.0,20.0,Mobile,USA
ST191,Gen AI,105.3,49.2,87.8,Laptop,Canada
ST192,Machine Learning,71.4,40.1,56.5,Laptop,USA
ST193,Machine Learning,6.0,30.0,20.0,Mobile,USA
ST194,Data Science,82.4,48.0,61.7,Mobile,Germany
ST195,Data Science,55.1,37.4,28.5,Mobile,Germany
ST196,Machine Learning,9.9,30.0,20.0,Tablet,UK
ST197,Gen AI,35.5,34.4,20.0,Laptop,USA
ST198,Gen AI,59.1,40.7,29.3,Laptop,Australia
ST199,Gen AI,56.0,48.1,50.6,Laptop,UK
ST200,SQL,98.4,59.4,88.0,Mobile,Australia
