Influencer,Platform,Followers,Engagement_Rate,Category
Influencer_39,X,1673587.0,2.72,Food
Influencer_40,YouTube,4529639.0,14.33,Fitness
Influencer_41,Instagram,2724218.0,7.58,Technology
Influencer_42,Facebook,2584615.0,3.97,Education
Influencer_43,X,665662.0,1.74,Fashion
Influencer_44,Instagram,4473663.0,11.6,Education
Influencer_45,Snapchat,3991957.0,14.23,Education
Influencer_46,Facebook,4431448.0,13.15,Fashion
Influencer_47,YouTube,4528943.0,11.45,Travel
Influencer_48,YouTube,2619865.0,6.29,Travel
Influencer_49,Snapchat,3137478.0,6.85,Fitness
Influencer_50,LinkedIn,1020056.0,4.09,Technology
Influencer_51,Facebook,181448.0,9.03,Education
Influencer_52,X,1852317.0,0.6,Travel
Influencer_53,Snapchat,498868.0,3.82,Technology
Influencer_54,Facebook,599394.0,7.96,Gaming
Influencer_55,Snapchat,4076951.0,3.61,Education
Influencer_56,Snapchat,4795256.0,8.86,Education
Influencer_57,LinkedIn,3419666.0,3.26,Technology
Influencer_58,Snapchat,3620919.0,5.64,Fashion
Influencer_59,LinkedIn,459420.0,10.26,Travel
Influencer_60,Instagram,513455.0,6.34,Gaming
Influencer_61,,2090880.0,3.28,Fitness
Influencer_62,LinkedIn,1180934.0,6.62,Gaming
Influencer_63,LinkedIn,2100528.0,13.18,Technology
Influencer_64,LinkedIn,4621463.0,1.92,Travel
Influencer_65,X,128797.0,14.55,Food
Influencer_66,YouTube,1400118.0,6.39,Fashion
Influencer_67,YouTube,3369169.0,13.59,Education
Influencer_68,LinkedIn,23080.0,14.79,Gaming
Influencer_69,LinkedIn,2397843.0,6.63,Travel
Influencer_70,X,4087495.0,2.74,Gaming
Influencer_71,YouTube,495593.0,8.9,Fitness
Influencer_72,Instagram,2635707.0,1.33,Fitness
Influencer_73,LinkedIn,4223214.0,13.83,Fitness
Influencer_74,YouTube,482140.0,14.43,Technology
Influencer_75,YouTube,579798.0,9.13,Travel
Influencer_76,YouTube,3392114.0,2.24,Fitness
Influencer_77,YouTube,4861325.0,9.12,Fitness
Influencer_78,Instagram,3521713.0,10.03,Fitness
Influencer_79,X,2658902.0,14.05,Education
Influencer_80,Snapchat,2640565.0,3.96,Fashion
Influencer_81,YouTube,2521557.0,7.13,Food
Influencer_82,Instagram,83143.0,7.15,Fitness
Influencer_83,Instagram,619555.0,8.3,Fitness
Influencer_84,Facebook,1116126.0,14.03,Technology
Influencer_85,YouTube,3104817.0,4.63,Fashion
Influencer_86,X,2542697.0,9.37,Food
Influencer_87,Snapchat,4442076.0,0.61,Food
Influencer_88,X,2516370.0,14.01,Technology
Influencer_89,YouTube,2223500.0,2.17,Technology
Influencer_90,Snapchat,4645776.0,2.75,Gaming
Influencer_91,X,1771889.0,10.91,Education
Influencer_92,Snapchat,2219457.0,7.83,Gaming
Influencer_93,Instagram,779255.0,9.7,Food
Influencer_94,Facebook,374826.0,0.55,Food
Influencer_95,YouTube,2202440.0,2.84,Fashion
Influencer_96,X,3592697.0,8.63,Technology
Influencer_97,Instagram,1255357.0,8.41,Food
Influencer_98,Facebook,4891444.0,8.51,Fashion
Influencer_99,YouTube,355885.0,4.97,Food
Influencer_100,Instagram,3006521.0,3.55,Education
Influencer_101,Snapchat,867295.0,5.63,Fitness
Influencer_102,LinkedIn,1301487.0,13.92,Education
Influencer_103,YouTube,1490222.0,13.28,Technology
Influencer_104,YouTube,2791573.0,11.84,Fashion
Influencer_105,Snapchat,2086777.0,4.37,Food
Influencer_106,Snapchat,911771.0,6.05,Technology
Influencer_107,LinkedIn,1870909.0,3.39,Fashion
Influencer_108,Facebook,2565126.0,12.4,Food
Influencer_109,YouTube,1875018.0,0.84,Education
Influencer_110,LinkedIn,2758660.0,4.54,Technology
Influencer_111,Facebook,2950627.0,9.8,Fashion
Influencer_112,Snapchat,4503103.0,5.3,Technology
Influencer_113,Instagram,2196231.0,3.09,Gaming
Influencer_114,Instagram,914346.0,9.15,Gaming
Influencer_115,Snapchat,2636316.0,6.83,Fitness
Influencer_116,Instagram,3236253.0,13.54,Education
Influencer_117,Facebook,377341.0,10.78,Technology
Influencer_118,X,4521862.0,10.46,Travel
Influencer_119,Snapchat,1657850.0,5.78,Technology
Influencer_120,Snapchat,2774918.0,9.54,Travel
Influencer_121,Instagram,2524285.0,7.85,Travel
Influencer_122,LinkedIn,2741220.0,6.33,Gaming
Influencer_123,X,1072767.0,3.28,Travel
Influencer_124,LinkedIn,1464847.0,9.42,Gaming
Influencer_125,LinkedIn,4601430.0,12.59,Gaming
Influencer_126,Facebook,1768140.0,6.73,Fitness
Influencer_127,X,2708222.0,7.24,Fashion
Influencer_128,Snapchat,1797657.0,7.91,Food
Influencer_129,Snapchat,1428474.0,10.05,Gaming
Influencer_130,X,2816762.0,1.85,Food
Influencer_131,YouTube,2608987.0,3.76,Education
Influencer_132,YouTube,209895.0,1.17,Fashion
Influencer_133,X,615927.0,7.1,Travel
Influencer_134,X,1636040.0,10.92,Fashion
Influencer_135,LinkedIn,3357531.0,4.04,Travel
Influencer_136,Snapchat,51513.0,13.44,Food
Influencer_137,Instagram,3571384.0,3.67,Food
Influencer_138,Snapchat,4349944.0,7.24,Fitness
Influencer_139,YouTube,1023029.0,7.12,Food
Influencer_140,LinkedIn,4460457.0,14.82,Fitness
Influencer_141,Facebook,3717574.0,9.38,Travel
Influencer_142,X,3584760.0,12.54,Fitness
Influencer_143,LinkedIn,1340113.0,11.28,Fashion
Influencer_144,LinkedIn,2179256.0,11.4,Food
Influencer_145,Snapchat,2331256.0,11.6,Fitness
Influencer_146,LinkedIn,2011939.0,4.48,Technology
Influencer_147,Snapchat,2401861.0,3.9,Gaming
Influencer_148,Facebook,4536125.0,1.67,Education
Influencer_149,YouTube,3218132.0,10.56,Travel
Influencer_150,YouTube,543790.0,6.52,Gaming
Influencer_151,X,3913456.0,6.53,Education
Influencer_152,LinkedIn,3272168.0,13.62,Fitness
Influencer_153,Snapchat,168845.0,12.92,Food
Influencer_154,X,3195867.0,7.42,Gaming
Influencer_155,Facebook,3276445.0,12.87,Food
Influencer_156,LinkedIn,4519921.0,11.34,Fitness
Influencer_157,X,1855012.0,7.58,Gaming
Influencer_158,LinkedIn,4078860.0,0.92,Gaming
Influencer_159,Snapchat,3396654.0,11.0,Food
Influencer_160,LinkedIn,1075619.0,14.72,Fitness
Influencer_161,Instagram,3310281.0,9.08,Travel
Influencer_162,Instagram,709202.0,9.82,Education
Influencer_163,LinkedIn,1529453.0,1.23,Fashion
Influencer_164,Facebook,1780535.0,7.09,Gaming
Influencer_165,LinkedIn,2339185.0,11.4,Food
Influencer_166,LinkedIn,2121206.0,12.61,Fashion
Influencer_167,Instagram,4529974.0,1.26,Gaming
Influencer_168,YouTube,580612.0,11.83,Travel
Influencer_169,Instagram,265298.0,14.27,Education
Influencer_170,Instagram,1283275.0,3.96,Fashion
Influencer_171,Snapchat,964568.0,8.68,Education
Influencer_172,LinkedIn,2154527.0,11.62,Education
Influencer_173,X,965771.0,11.78,Education
Influencer_174,Facebook,911798.0,8.89,Gaming
Influencer_175,X,3153302.0,6.25,Travel
Influencer_176,YouTube,642504.0,9.09,Food
Influencer_177,Snapchat,2042168.0,1.98,Food
Influencer_178,Facebook,1020483.0,12.05,Fitness
Influencer_179,Instagram,2917556.0,8.22,Travel
Influencer_31,Snapchat,3546334.0,9.15,Fashion
