student_id,study_hours,attendance,previous_marks,assignments_completed,sleep_hours,internet_usage,extracurricular,pass
189,2.0,93,86,7,8.0,6.3,No,1
190,6.6,88,47,4,4.7,4.1,No,1
191,1.3,83,45,4,4.9,1.7,No,1
192,1.6,77,41,3,8.2,7.1,Yes,0
193,3.5,73,60,6,9.0,3.3,Yes,1
194,1.2,95,72,2,5.1,2.7,No,1
195,1.5,95,90,7,7.3,7.3,Yes,1
196,6.8,85,97,6,5.0,2.7,No,1
197,2.3,90,88,1,5.0,7.3,Yes,1
198,4.8,95,48,4,6.4,5.1,Yes,1
199,1.9,92,40,8,8.9,1.0,Yes,1
200,4.0,90,79,5,5.6,0.6,Yes,1
201,6.0,90,43,9,7.8,3.0,Yes,1
202,3.0,91,52,10,6.6,5.7,Yes,1
203,1.0,99,88,0,5.8,0.8,Yes,1
204,2.9,69,95,6,9.0,4.6,No,1
205,5.4,68,75,0,8.4,3.0,Yes,1
206,3.8,75,86,6,6.0,1.9,No,1
207,6.5,67,40,6,4.9,5.0,Yes,1
208,2.9,55,71,10,5.8,3.8,No,1
209,3.8,78,35,5,7.3,3.8,Yes,1
210,5.3,73,95,10,5.2,0.7,No,1
211,1.0,99,76,5,6.2,4.8,Yes,1
212,7.6,73,86,1,7.1,4.5,No,1
213,2.6,57,33,2,6.7,3.4,Yes,0
214,2.5,78,57,9,5.8,7.4,No,1
215,1.5,54,87,2,8.5,3.8,Yes,1
216,7.8,70,74,1,7.0,2.7,No,1
217,5.8,94,52,5,6.8,1.4,Yes,1
218,2.3,81,33,5,7.0,3.3,Yes,1
219,1.1,69,80,7,6.9,6.3,Yes,0
220,2.9,54,87,7,7.6,3.1,Yes,1
221,1.5,82,37,1,6.8,2.8,Yes,0
222,5.8,72,96,4,8.3,2.4,No,1
223,2.8,84,41,8,7.4,4.9,Yes,1
224,5.2,88,73,9,4.7,7.0,Yes,1
225,5.3,86,63,10,5.4,4.8,Yes,1
226,5.2,68,68,7,5.6,6.6,No,1
227,1.0,53,50,7,6.4,4.0,No,0
228,2.8,95,70,5,8.9,1.5,No,1
229,1.3,65,89,1,5.7,2.4,Yes,0
230,7.6,89,83,3,8.8,7.3,No,1
231,5.9,62,50,7,9.0,4.0,No,1
232,1.2,75,94,7,8.9,2.1,No,1
233,2.6,88,90,4,6.9,6.9,No,1
234,2.5,73,81,5,4.7,0.9,Yes,1
235,2.7,74,94,7,7.9,2.6,Yes,1
236,1.2,73,73,8,8.7,6.2,Yes,1
237,3.5,52,35,0,5.1,3.0,No,0
238,1.6,82,47,5,8.7,2.9,No,1
239,6.0,69,73,8,8.2,4.5,No,1
240,0.6,71,44,6,7.1,6.5,Yes,0
241,2.5,91,59,0,7.1,1.8,No,1
242,5.6,52,44,3,4.6,2.9,Yes,1
243,2.0,82,90,0,7.7,4.4,No,1
244,4.1,74,70,2,6.6,4.5,No,1
245,7.0,93,63,9,6.7,7.7,No,1
246,2.2,69,66,3,7.6,4.2,No,0
247,7.5,100,65,4,5.0,5.6,No,1
248,3.5,72,48,4,4.7,7.7,Yes,0
249,3.8,66,91,3,5.4,4.5,No,1
250,5.1,87,60,3,4.7,7.3,Yes,1
251,0.9,76,72,7,5.0,6.3,Yes,1
252,7.8,60,82,10,8.7,7.1,No,1
253,6.2,68,71,4,7.4,7.3,Yes,1
254,2.2,97,34,2,6.4,6.8,Yes,1
255,3.5,81,53,4,8.4,0.6,Yes,1
256,3.0,79,99,8,6.7,7.5,No,1
257,6.6,71,50,7,7.4,5.9,Yes,1
258,6.4,86,54,2,7.2,5.3,No,1
259,4.4,55,81,10,4.9,7.9,No,1
260,2.4,66,79,3,6.5,2.5,No,1
261,5.9,50,63,10,6.1,2.3,Yes,1
262,1.7,93,94,4,7.6,5.3,No,1
263,2.2,58,91,2,6.5,7.9,No,0
264,4.6,80,98,10,8.2,6.2,Yes,1
265,4.5,73,39,9,5.0,6.7,Yes,1
266,1.6,70,96,7,5.0,2.0,No,1
267,4.3,53,88,2,6.8,3.9,Yes,1
268,5.5,69,32,6,5.6,0.5,Yes,1
269,0.8,72,38,8,9.0,7.5,Yes,0
270,4.0,68,82,2,8.0,6.2,No,1
271,7.2,78,78,6,4.9,7.7,Yes,1
272,3.1,61,98,6,6.9,6.0,Yes,1
273,6.2,69,89,10,7.7,3.7,No,1
274,2.4,72,49,4,5.3,7.1,Yes,0
275,5.5,89,32,3,5.4,1.3,Yes,1
276,5.5,53,61,0,6.3,2.3,Yes,1
277,6.3,58,94,4,5.6,7.4,No,1
278,6.3,70,60,4,8.4,7.9,Yes,1
279,2.6,85,52,10,7.6,4.7,Yes,1
280,7.6,92,78,8,5.9,3.6,Yes,1
281,1.9,84,90,3,8.3,2.8,Yes,1
282,7.4,85,82,6,7.0,1.5,Yes,1
283,3.0,55,87,5,4.9,5.9,Yes,1
284,3.3,88,35,1,5.3,6.2,Yes,0
285,7.0,71,68,0,5.5,1.9,Yes,1
286,6.2,65,56,6,8.6,4.6,No,1
287,4.5,72,69,4,6.1,7.1,No,1
288,7.9,80,70,3,6.2,3.6,Yes,1
289,0.6,85,83,4,5.2,3.0,No,1
290,2.3,85,73,4,7.9,4.2,No,1
291,6.0,72,51,2,7.7,4.2,Yes,1
292,6.8,54,36,0,6.4,6.8,Yes,0
293,1.6,63,94,7,6.2,5.1,No,1
294,0.6,84,100,6,4.6,4.5,No,1
295,2.7,82,85,2,5.0,1.2,Yes,1
296,5.1,66,75,4,8.1,1.1,No,1
297,2.3,94,58,4,7.6,6.9,Yes,0
298,3.3,85,90,0,7.4,5.8,Yes,1
299,3.8,100,72,9,8.9,7.8,Yes,1
300,7.3,94,90,4,4.7,1.1,No,1
301,4.7,52,52,5,4.6,2.1,Yes,1
302,5.8,75,39,4,5.2,2.3,No,1
303,4.6,74,47,1,6.8,7.8,Yes,0
304,2.2,54,73,9,8.0,7.7,No,1
305,2.9,90,64,7,6.7,3.2,No,1
306,5.6,92,78,1,8.0,2.7,Yes,1
307,1.1,59,78,10,5.2,3.4,No,0
308,0.5,69,86,5,7.9,1.3,Yes,1
309,3.9,85,95,6,5.0,1.2,Yes,1
310,6.4,74,31,4,6.4,6.3,Yes,1
311,1.8,74,51,2,5.7,2.5,Yes,0
312,3.8,76,68,7,8.0,3.2,Yes,1
313,4.2,89,55,7,5.0,2.8,No,1
314,5.2,71,86,5,6.4,6.7,Yes,1
315,5.0,94,55,7,5.9,7.7,No,1
316,5.7,81,61,5,6.2,6.6,No,1
317,7.5,62,99,2,7.6,4.6,No,1
318,2.1,68,38,6,7.5,1.5,No,0
319,5.4,95,84,6,4.8,7.9,No,1
320,4.5,94,83,8,4.7,7.8,Yes,1
321,2.4,92,75,2,7.4,0.8,No,1
322,3.0,100,85,1,4.5,2.4,Yes,1
323,3.4,99,94,2,6.1,0.7,Yes,1
324,7.4,55,44,2,6.1,3.1,Yes,1
325,3.1,56,86,7,5.9,2.8,Yes,1
326,3.1,56,51,3,6.8,4.6,No,0
327,7.7,64,81,10,5.3,5.3,No,1
328,6.0,62,87,9,6.4,0.5,Yes,1
329,6.1,100,38,9,5.0,7.0,Yes,1
330,2.0,57,63,10,8.4,4.5,No,1
331,5.1,87,44,5,6.1,3.9,Yes,1
332,5.8,69,40,10,5.1,1.4,No,1
333,3.3,59,95,6,6.4,1.5,No,1
334,4.2,84,52,8,5.3,2.7,Yes,1
335,3.9,53,75,0,6.7,2.0,No,1
336,4.3,81,82,10,6.7,5.8,No,1
337,1.1,51,58,4,4.6,2.2,No,0
338,3.9,97,93,8,6.8,4.8,No,1
339,6.7,73,99,0,7.9,3.8,Yes,1
340,1.3,91,61,4,8.4,0.7,No,1
341,6.6,78,45,3,5.4,6.0,No,1
342,5.1,77,51,9,5.1,2.0,Yes,1
343,4.8,84,65,9,6.9,2.9,No,1
344,2.5,82,42,2,8.8,6.4,Yes,1
345,7.0,58,46,3,5.2,2.9,Yes,1
346,5.6,81,48,9,7.3,5.2,No,1
347,5.3,99,41,6,6.8,2.6,No,1
348,4.2,87,30,1,7.8,3.9,No,1
349,6.5,75,57,6,8.2,4.2,No,1
350,3.0,86,46,9,8.3,6.4,Yes,1
351,5.2,79,32,1,8.7,1.7,No,1
352,7.7,62,46,10,5.9,7.1,No,1
353,3.2,55,77,10,8.6,1.7,No,1
354,5.9,98,59,6,7.4,5.8,Yes,1
355,1.1,87,58,8,7.6,0.6,No,1
356,7.9,77,46,7,4.8,3.4,Yes,1
357,3.3,69,47,6,8.0,6.1,Yes,1
358,5.6,54,97,9,4.5,5.4,No,1
359,2.1,97,49,6,7.3,3.8,Yes,1
360,1.3,98,45,9,7.8,3.1,No,1
361,1.5,67,40,3,7.0,5.0,No,0
362,5.7,92,68,3,6.8,4.3,No,1
363,0.9,100,60,7,6.2,2.3,Yes,1
364,7.8,73,70,2,6.2,6.8,No,1
365,5.6,98,90,1,4.6,1.0,No,1
366,7.4,100,80,8,5.8,5.8,No,1
367,3.5,90,98,8,7.3,2.6,No,1
368,7.4,59,98,5,6.3,5.3,Yes,1
369,3.8,65,37,3,4.9,3.8,No,0
370,0.9,92,52,1,4.6,1.5,Yes,0
371,7.6,83,96,4,5.3,1.5,No,1
372,1.4,51,72,6,5.7,1.0,Yes,1
373,4.3,53,93,9,5.3,1.7,Yes,1
374,5.6,57,59,8,4.5,6.9,Yes,1
375,4.0,74,49,2,8.7,6.9,No,0
376,2.4,96,70,4,8.2,4.8,Yes,1
377,7.3,61,58,8,8.9,7.7,Yes,1
378,7.0,99,69,5,4.9,3.9,No,1
379,4.7,69,61,7,6.2,7.8,Yes,1
380,4.6,100,61,2,4.5,3.6,Yes,1
381,5.3,94,31,5,4.5,5.4,No,1
382,4.5,65,83,7,8.8,7.8,Yes,1
383,1.2,64,96,6,7.7,3.3,Yes,1
384,4.3,90,80,1,7.2,1.0,Yes,1
385,2.5,70,80,5,5.9,2.5,Yes,1
386,1.5,99,43,2,5.0,3.9,No,0
387,4.5,99,56,7,5.9,2.5,Yes,1
388,6.6,69,35,3,8.3,3.0,Yes,1
389,7.8,75,95,0,7.5,2.5,Yes,1
390,3.5,78,100,3,4.9,1.3,Yes,1
391,1.0,99,58,2,5.4,3.5,Yes,1
392,2.4,54,32,1,5.4,5.3,Yes,0
393,6.9,71,45,0,8.7,0.9,No,1
394,3.5,51,78,10,6.4,3.2,Yes,1
395,3.8,59,34,9,7.3,2.3,No,1
396,7.1,80,37,1,5.8,1.5,Yes,1
397,6.5,65,99,0,9.0,6.4,No,1
398,6.4,72,94,5,6.2,1.8,No,1
399,0.7,99,65,0,8.1,4.0,No,1
400,8.0,60,42,3,7.5,2.5,Yes,1
401,7.6,86,79,5,8.7,7.9,Yes,1
402,4.9,97,75,9,4.6,5.8,Yes,1
403,1.9,81,99,4,5.3,0.8,Yes,1
404,2.1,83,91,0,6.0,5.1,Yes,1
405,1.8,70,37,0,5.2,5.8,Yes,0
406,6.8,73,39,5,7.7,5.5,Yes,1
407,2.9,60,85,10,8.8,5.4,Yes,1
408,4.7,89,75,3,7.5,6.6,No,1
409,5.7,58,52,0,8.8,7.6,No,1
410,6.3,86,34,2,7.2,7.4,Yes,1
411,1.3,81,48,5,7.9,2.3,No,0
412,7.1,55,72,7,4.6,2.1,Yes,1
413,6.4,96,30,0,6.2,6.0,Yes,1
414,4.2,74,74,8,6.2,6.7,Yes,1
415,1.1,52,67,0,5.9,7.6,Yes,0
416,7.2,60,39,8,8.7,7.8,No,1
417,5.1,80,33,6,8.7,1.7,No,1
418,1.3,63,54,6,7.6,5.9,No,0
419,2.7,56,36,6,7.1,6.8,Yes,0
420,0.5,55,67,10,7.3,4.1,Yes,0
421,1.8,68,40,7,8.3,2.8,No,0
422,7.2,66,41,10,6.9,1.9,No,1
423,3.8,66,86,7,5.7,6.8,Yes,1
424,5.7,56,40,10,6.0,4.6,Yes,1
425,6.8,83,83,8,7.6,7.5,Yes,1
426,1.1,95,34,8,7.1,4.4,Yes,0
427,6.2,61,51,3,8.1,1.4,No,1
428,5.6,62,48,9,5.7,7.3,Yes,1
429,4.7,85,71,4,6.8,7.4,Yes,1
430,5.2,83,83,1,6.4,1.6,Yes,1
431,4.7,56,66,8,8.5,7.1,No,1
432,4.1,88,90,0,5.3,3.5,No,1
433,7.2,71,60,0,7.9,7.4,No,1
434,6.6,69,69,4,8.3,6.9,Yes,1
435,2.2,69,86,5,5.7,3.6,Yes,1
436,2.1,76,92,8,8.4,6.7,Yes,1
437,5.8,75,47,8,8.5,0.7,Yes,1
438,2.0,53,61,0,6.6,7.4,Yes,0
439,6.7,82,80,10,8.7,5.6,Yes,1
440,5.0,61,90,9,7.0,3.1,No,1
441,5.7,68,33,6,4.7,6.9,Yes,1
442,5.4,93,56,4,7.4,4.3,Yes,1
443,1.5,61,31,3,5.6,6.5,No,0
444,5.8,67,84,6,8.3,3.9,Yes,1
445,5.6,89,80,9,5.0,4.3,No,1
446,5.0,68,68,10,5.0,1.0,No,1
447,7.0,66,68,3,5.2,6.2,Yes,1
448,6.5,88,81,10,5.9,1.5,Yes,1
449,8.0,66,83,6,6.2,0.8,Yes,1
450,5.9,93,98,10,8.0,7.3,No,1
451,6.8,92,53,4,4.9,1.5,No,1
452,4.7,61,72,10,4.9,3.2,No,1
453,7.2,73,63,9,5.8,6.9,No,1
454,5.3,87,39,7,8.5,4.3,No,1
455,3.6,59,47,3,6.0,7.9,No,0
456,7.0,61,40,7,6.0,7.9,No,1
457,0.5,67,56,2,7.1,1.7,Yes,0
458,3.8,77,81,6,8.8,3.4,Yes,1
459,6.0,50,71,8,5.4,5.6,Yes,1
460,7.1,69,46,1,6.2,4.9,Yes,1
461,0.8,68,88,8,7.2,3.0,Yes,1
462,7.3,72,54,2,8.8,7.4,No,1
463,2.2,58,57,0,7.2,1.8,No,0
464,6.4,74,62,8,7.3,5.0,Yes,1
465,5.4,51,36,1,6.4,3.4,No,1
466,1.6,94,31,4,6.4,1.3,No,0
467,5.8,76,43,8,7.7,1.4,Yes,1
468,4.2,88,55,4,8.2,7.8,No,1
469,2.7,52,100,7,8.6,5.7,No,1
470,0.5,92,41,1,8.3,5.5,Yes,0
471,6.3,54,42,4,7.4,3.9,No,1
472,0.9,61,35,4,6.1,5.6,No,0
473,1.2,98,35,0,8.3,5.5,Yes,0
474,7.2,89,64,1,6.2,3.1,Yes,1
475,7.7,67,79,7,8.1,5.4,Yes,1
476,5.7,53,50,1,6.4,4.9,No,1
477,3.3,72,33,10,8.5,6.0,Yes,1
478,4.2,76,86,0,4.8,5.4,Yes,1
479,5.6,99,58,10,8.4,4.4,Yes,1
480,5.9,80,74,10,7.5,3.4,Yes,1
481,7.5,82,90,7,8.4,1.1,No,1
482,3.0,67,36,8,5.5,5.3,No,1
483,1.1,78,87,1,8.4,3.9,Yes,1
484,6.1,51,43,6,6.4,4.7,Yes,1
485,6.4,89,68,8,7.0,5.4,No,1
486,3.2,53,58,7,6.0,6.3,No,1
487,3.2,78,44,1,7.9,2.2,No,1
488,5.3,68,100,8,6.2,1.3,Yes,1
489,6.7,97,82,1,5.6,2.0,Yes,1
490,3.4,79,54,5,5.0,3.6,Yes,1
491,3.9,92,94,2,8.8,0.5,Yes,1
492,3.7,87,91,8,8.0,7.3,Yes,1
493,1.5,74,71,8,8.5,3.6,Yes,1
494,7.7,68,87,2,5.1,5.0,No,1
495,4.6,70,100,10,5.5,2.1,No,1
496,7.4,58,52,8,6.9,5.3,Yes,1
497,4.7,87,83,10,7.9,6.8,No,1
498,3.7,50,96,1,4.6,1.6,Yes,1
499,6.1,60,66,10,5.6,6.8,No,1
500,4.6,72,87,1,7.3,5.6,Yes,1
501,4.7,65,95,4,7.6,0.9,No,1
502,7.7,93,70,8,4.7,6.1,Yes,1
503,6.4,78,58,10,7.7,5.4,Yes,1
504,7.7,68,87,2,8.9,1.1,Yes,1
505,1.4,52,84,4,7.0,1.5,No,0
506,4.0,59,35,2,8.7,5.0,No,0
507,4.8,72,39,5,6.9,7.7,Yes,1
508,1.7,84,98,6,4.9,2.2,Yes,1
509,3.0,68,57,9,6.9,8.0,Yes,1
510,3.1,65,61,0,7.6,2.9,Yes,1
511,4.6,68,33,8,8.2,3.3,No,1
512,2.7,91,54,5,6.8,7.6,Yes,1
513,6.3,84,30,10,4.8,5.5,Yes,1
514,3.7,56,56,8,8.2,7.1,No,1
515,7.5,97,49,0,6.6,3.0,Yes,1
516,1.8,66,39,9,8.2,7.3,No,0
517,5.2,77,70,0,6.3,1.4,Yes,1
518,5.1,98,35,1,6.1,4.3,No,1
519,2.8,55,66,7,6.2,6.7,Yes,1
520,4.5,58,80,8,5.8,5.3,No,1
521,7.4,100,77,0,7.0,4.7,Yes,1
522,4.8,75,98,8,8.8,2.8,No,1
523,7.3,82,48,2,5.3,5.1,No,1
524,1.9,86,36,8,6.6,4.6,No,1
525,2.4,62,92,5,6.1,5.5,Yes,1
526,5.1,62,70,7,6.5,5.1,No,1
527,1.6,86,76,5,8.8,1.8,No,1
528,2.2,97,85,4,8.3,1.5,No,1
529,4.0,72,69,7,7.0,1.8,Yes,1
530,6.9,58,98,3,5.7,7.1,Yes,1
531,7.2,82,33,9,7.1,6.3,Yes,1
532,4.6,84,99,7,7.4,1.6,No,1
533,6.3,96,67,2,6.6,4.3,No,1
534,0.6,65,51,8,5.1,1.7,Yes,0
535,4.1,72,35,3,7.9,2.2,No,1
536,0.8,63,96,5,6.2,7.4,Yes,0
537,5.4,56,96,10,8.2,6.8,No,1
538,4.8,74,78,5,7.1,7.2,Yes,1
539,3.3,64,96,6,6.1,7.0,No,1
540,7.2,50,94,2,6.5,2.2,No,1
541,1.9,73,45,10,5.5,6.6,Yes,0
542,4.1,63,50,10,8.3,0.7,Yes,1
543,4.9,58,95,0,8.5,1.6,Yes,1
544,1.9,75,32,10,8.2,7.6,Yes,0
545,7.9,80,51,3,8.2,5.0,Yes,1
546,4.3,60,73,7,7.2,1.0,No,1
547,1.3,62,96,8,7.6,6.7,Yes,1
548,7.3,88,34,8,6.8,1.4,No,1
549,7.3,84,30,10,7.4,4.4,No,1
550,5.7,77,59,7,8.1,3.4,Yes,1
551,2.4,99,59,1,5.8,7.1,No,0
552,0.5,97,30,9,6.9,4.4,No,0
553,5.7,70,82,5,5.0,3.7,No,1
554,4.5,86,76,9,5.7,5.6,Yes,1
