Day,Units_Consumed,Temperature,City
203,468.9,31.3,Delhi
204,165.2,37.2,Bangalore
205,93.4,13.8,Bangalore
206,552.2,30.2,Chandigarh
207,451.8,23.9,Delhi
208,511.9,30.7,Mumbai
209,481.7,13.6,Pune
210,142.9,31.0,Jaipur
211,260.5,37.4,Chandigarh
212,115.9,33.2,Pune
213,521.8,21.9,Chandigarh
214,579.6,13.7,Pune
215,319.1,41.2,Mumbai
216,461.6,25.2,Pune
217,500.3,19.5,Jaipur
218,321.7,37.1,Pune
219,247.6,30.7,Mumbai
220,125.1,39.1,Chandigarh
221,321.6,18.5,Jaipur
222,254.9,33.4,Chandigarh
223,174.6,39.8,Mumbai
224,214.3,22.4,Bangalore
225,444.6,40.8,Bangalore
226,348.6,29.5,Mumbai
227,454.4,13.0,Chandigarh
228,205.0,29.4,Chandigarh
229,335.2,32.6,Delhi
230,195.2,13.3,Pune
231,425.3,18.5,Bangalore
232,356.1,26.6,Chandigarh
233,366.2,44.9,Bangalore
234,220.9,34.6,Bangalore
235,455.1,18.1,Bangalore
236,358.6,14.2,Pune
237,192.5,16.5,Chandigarh
238,386.6,19.7,Jaipur
239,589.9,30.9,Mumbai
240,267.7,20.4,Bangalore
241,357.8,10.5,Bangalore
242,108.4,11.6,Bangalore
243,145.7,34.4,Chandigarh
244,86.4,13.6,Bangalore
245,309.0,26.4,Mumbai
246,211.3,43.8,Chandigarh
247,114.0,14.0,Chandigarh
248,407.3,12.6,Delhi
249,501.8,15.3,Bangalore
250,209.1,13.0,Jaipur
251,395.3,36.8,Jaipur
252,351.7,17.9,Chandigarh
253,234.6,41.8,Jaipur
254,238.8,44.7,Jaipur
255,579.3,12.1,Delhi
256,188.0,43.2,Mumbai
257,122.2,19.3,Mumbai
258,119.0,16.1,Delhi
259,438.5,24.3,Chandigarh
260,200.4,20.2,Pune
261,527.0,19.9,Delhi
262,560.4,34.1,Pune
263,498.0,30.6,Mumbai
264,363.2,24.9,Pune
265,218.1,15.2,Mumbai
266,166.3,12.5,Bangalore
267,508.6,30.8,Bangalore
268,323.7,25.4,Bangalore
269,570.2,34.5,Jaipur
270,307.6,28.9,Jaipur
271,304.7,11.4,Bangalore
272,93.4,31.1,Mumbai
273,514.7,43.7,Jaipur
274,90.8,30.5,Pune
275,379.6,38.7,Mumbai
276,418.8,26.5,Bangalore
277,384.4,16.4,Pune
278,583.9,38.5,Chandigarh
279,253.3,22.2,Pune
280,163.6,13.7,Chandigarh
281,229.9,34.3,Chandigarh
282,366.1,38.5,Chandigarh
283,211.2,13.1,Delhi
284,290.2,44.0,Jaipur
285,80.6,38.9,Jaipur
286,108.2,26.2,Jaipur
287,473.4,22.7,Pune
288,106.8,25.5,Bangalore
289,562.4,29.2,Chandigarh
290,332.1,40.8,Delhi
291,396.6,44.1,Mumbai
292,241.6,34.8,Delhi
293,128.5,29.3,Delhi
294,141.1,26.2,Mumbai
295,452.6,27.4,Jaipur
296,296.1,34.7,Chandigarh
297,206.7,44.3,Jaipur
298,179.1,15.1,Jaipur
299,537.2,27.8,Delhi
300,490.8,19.7,Chandigarh
301,489.6,21.9,Bangalore
302,227.1,38.7,Bangalore
303,381.6,39.3,Pune
304,157.3,27.1,Jaipur
305,252.9,27.0,Jaipur
306,565.1,23.2,Mumbai
307,204.2,44.3,Chandigarh
308,483.3,18.2,Delhi
309,325.9,21.1,Chandigarh
310,425.1,23.5,Pune
311,337.6,44.3,Delhi
312,582.0,14.4,Bangalore
313,534.6,40.4,Chandigarh
314,553.4,13.5,Delhi
315,293.2,35.3,Pune
316,118.9,43.9,Bangalore
317,440.2,21.8,Pune
318,250.9,12.8,Pune
319,277.6,40.1,Bangalore
320,541.5,31.9,Chandigarh
321,98.7,40.5,Delhi
322,435.9,18.2,Bangalore
323,468.3,44.9,Chandigarh
324,475.4,44.2,Pune
325,310.7,40.5,Pune
326,95.1,20.5,Bangalore
327,232.6,37.9,Bangalore
328,207.0,25.1,Chandigarh
329,492.1,29.8,Mumbai
330,396.9,16.1,Chandigarh
331,205.2,31.7,Jaipur
332,319.8,15.0,Bangalore
333,426.8,26.1,Chandigarh
334,432.4,41.5,Mumbai
335,571.5,12.6,Jaipur
336,580.3,20.5,Pune
337,519.6,18.8,Mumbai
338,523.7,45.0,Delhi
339,377.4,18.3,Jaipur
340,443.6,20.4,Delhi
341,422.3,44.2,Bangalore
342,529.8,10.3,Pune
343,553.5,44.1,Pune
344,550.2,27.4,Bangalore
345,199.7,37.2,Bangalore
346,178.9,17.7,Bangalore
347,454.9,33.7,Pune
348,151.1,33.8,Delhi
349,416.1,41.6,Bangalore
350,97.3,37.6,Bangalore
351,126.9,35.6,Bangalore
352,296.1,21.4,Mumbai
353,360.5,14.6,Bangalore
354,555.0,28.6,Mumbai
355,508.8,19.0,Chandigarh
356,233.5,43.9,Bangalore
357,323.5,38.1,Delhi
358,582.6,14.9,Pune
359,589.6,35.3,Jaipur
360,491.2,22.8,Delhi
361,144.3,19.3,Bangalore
362,429.6,33.5,Jaipur
363,412.0,23.3,Bangalore
364,201.6,13.8,Delhi
51,124.5,43.1,Chandigarh
