Reading_ID,Temperature,Pressure,Battery_Level,Terrain_Type,Signal_Strength
R178,1.13,778.21,27.93,Rocky,47.57
R179,21.02,666.2,23.53,Mountain,45.98
R180,14.7,555.37,27.25,Dusty,98.2
R181,-81.39,823.53,37.53,Flat,81.56
R182,-15.27,848.12,87.45,Flat,62.8
R183,-53.58,801.55,79.55,Flat,42.15
R184,-82.13,770.91,93.28,Sandy,84.81
R185,-40.09,584.46,68.87,Rocky,66.62
R186,-10.19,866.2,18.91,Rocky,57.6
R187,-46.89,600.95,60.15,Flat,80.91
R188,-69.29,611.27,66.81,Mountain,77.18
R189,-62.3,869.49,27.17,Mountain,78.27
R190,-37.15,783.39,91.41,Mountain,94.07
R191,-12.07,605.29,52.55,Crater,99.26
R192,-55.6,886.71,73.68,Mountain,90.72
R193,-67.09,684.64,56.07,Sandy,62.88
R194,-48.72,653.56,74.44,Rocky,98.68
R195,-14.3,646.07,63.1,Dusty,86.7
R196,21.96,868.72,78.34,Crater,86.54
R197,-63.54,830.68,33.62,Sandy,77.25
R198,-12.06,802.32,71.03,Sandy,77.69
R199,13.89,776.22,41.26,Mountain,42.0
R200,-48.04,595.99,92.32,Crater,84.85
R201,-69.8,596.26,60.85,Crater,71.85
R202,15.05,840.67,36.84,Mountain,98.04
R203,-56.06,854.64,83.36,Mountain,97.77
R204,-73.81,888.28,88.11,Dusty,80.46
R205,-44.3,846.01,62.37,Rocky,87.44
R206,-88.4,737.8,53.66,Dusty,84.94
R207,-59.85,683.36,69.28,Crater,46.5
R208,-63.11,558.76,90.16,Flat,59.68
R209,-19.84,776.68,69.01,Mountain,94.56
R210,-55.25,692.9,26.88,Rocky,58.26
R211,-33.35,584.02,90.42,Sandy,63.32
R212,-47.33,882.28,74.2,Flat,65.15
R213,-4.64,604.08,50.27,Rocky,90.02
R214,-19.2,878.67,38.78,Dusty,62.23
R215,-39.01,882.69,87.71,Rocky,98.86
R216,-47.76,865.59,69.81,Rocky,63.89
R217,-68.17,592.76,87.08,Mountain,45.5
R218,-65.61,773.82,97.54,Rocky,87.21
R219,-61.99,594.07,62.99,Rocky,89.79
R220,-26.27,755.23,84.11,Sandy,59.71
R221,-73.03,865.19,,Sandy,99.25
R222,-27.88,829.48,24.34,Rocky,47.91
R223,-48.8,825.95,65.05,Rocky,50.45
R224,-83.97,809.6,59.72,Dusty,43.81
R225,-38.45,676.71,65.46,Mountain,70.23
R226,18.72,565.18,81.57,Dusty,71.29
R227,-37.33,887.41,20.17,Mountain,90.84
R228,-40.98,587.79,75.55,Mountain,44.41
R229,-80.71,762.9,20.58,Crater,77.46
R230,-22.68,799.25,47.38,Flat,71.83
R231,-37.82,761.9,23.43,Dusty,46.86
R232,-14.71,857.2,61.86,Sandy,65.8
R233,12.13,694.83,85.33,Mountain,64.96
R234,-79.07,699.37,71.53,Crater,97.22
R235,-11.02,715.99,22.75,Rocky,45.59
R236,-78.9,808.58,84.0,Flat,43.6
R237,20.01,746.59,71.95,Mountain,61.22
R238,-13.49,812.6,88.79,Dusty,43.09
R239,-56.92,659.36,23.81,Flat,52.76
R240,-14.48,628.49,24.2,Flat,62.05
R241,-2.3,750.94,83.61,Flat,98.47
R242,4.12,764.75,69.63,Rocky,76.54
R243,-14.35,792.71,17.46,Crater,82.16
R244,-54.47,668.94,15.52,Sandy,73.98
R245,-43.91,599.66,68.82,Rocky,45.51
R246,-28.99,681.67,53.56,Sandy,62.2
R247,-7.02,821.89,63.25,Rocky,93.0
R248,-72.11,814.05,19.23,Rocky,56.33
R249,-13.88,719.98,52.57,Crater,52.93
R250,-31.08,670.81,24.43,Dusty,80.71
R251,-34.04,783.5,18.86,Mountain,99.07
R252,-83.7,621.55,95.35,Sandy,85.85
R253,-56.71,591.99,57.28,Mountain,50.54
R254,-46.28,796.28,57.52,Dusty,88.37
R255,-81.71,851.62,18.6,Rocky,67.59
R256,-81.05,659.57,51.49,Mountain,82.57
R257,-41.97,590.31,16.77,Crater,50.31
R258,18.98,711.03,73.62,Crater,45.29
R259,7.12,635.16,65.05,Flat,44.72
R260,10.11,811.03,33.83,Sandy,44.58
R261,-17.18,735.71,31.48,Crater,61.07
R262,20.2,775.91,27.55,Rocky,48.79
R263,-67.31,760.84,79.62,Dusty,44.52
R264,19.4,769.78,54.44,Flat,85.59
R265,-38.38,873.45,62.98,Dusty,99.19
R266,-52.83,889.84,41.87,Mountain,44.1
R267,-39.15,655.99,38.35,Rocky,61.12
R268,-81.47,711.61,18.2,Crater,89.9
R269,-81.18,852.49,87.7,Flat,75.64
R270,-45.78,753.12,96.11,Dusty,93.75
R271,-38.28,833.44,70.41,Crater,76.3
R272,-32.34,885.2,53.29,Crater,98.94
R273,-80.3,776.14,18.33,Dusty,66.27
R274,-39.47,732.96,28.49,Crater,95.08
R275,-45.45,821.06,72.71,Rocky,87.35
R276,-15.56,573.07,23.03,Dusty,63.19
R277,-61.02,848.05,96.97,Flat,92.4
R278,-51.66,753.96,27.02,Crater,58.61
R279,-14.55,781.75,25.96,Dusty,96.28
R280,-54.4,681.84,82.29,Sandy,80.21
R281,5.33,808.57,73.26,Flat,45.61
R282,-12.9,727.97,16.55,Crater,50.82
R283,-65.37,881.68,56.33,Sandy,100.0
R284,-72.18,653.53,81.99,Flat,86.25
R285,6.04,859.29,18.21,Crater,92.58
R286,-18.93,759.04,28.11,Sandy,89.88
R287,-1.32,833.17,29.07,Mountain,42.62
R288,-48.11,801.85,97.42,Flat,57.1
R289,-3.92,707.12,60.39,Crater,97.94
R290,0.2,866.39,31.49,Dusty,96.83
R291,23.21,711.59,38.95,Mountain,70.17
R292,-41.85,606.72,31.97,Flat,48.3
R293,-61.25,774.41,89.3,Flat,96.06
R294,-8.19,730.57,25.6,Rocky,85.79
R295,-58.63,866.86,27.52,Mountain,45.5
R296,14.71,835.85,90.19,Rocky,64.89
R297,-44.41,680.89,47.82,Rocky,62.49
R298,-86.76,875.79,86.33,Dusty,60.12
R299,-73.2,563.41,92.98,Mountain,81.76
R300,-74.04,796.94,53.13,Rocky,94.35
R301,-87.81,625.48,27.71,Dusty,76.53
R302,-41.33,821.66,35.2,Rocky,42.86
R303,-41.72,827.86,53.85,Rocky,90.2
R304,-32.52,737.62,68.72,Flat,54.52
R305,-73.49,700.23,67.26,Sandy,74.24
R306,-68.46,783.88,59.5,Crater,44.06
R307,-29.5,727.56,99.01,Flat,41.22
R308,10.43,565.24,47.88,Crater,55.22
R309,-88.13,825.98,44.31,Dusty,79.43
R310,-78.08,753.67,79.32,Sandy,42.66
R311,-27.21,834.73,29.88,Dusty,67.88
R312,-10.03,771.11,83.98,Rocky,82.96
R313,18.51,562.94,32.14,Sandy,93.15
R314,-53.71,658.53,48.85,Flat,68.4
R315,-85.79,776.42,39.32,Rocky,91.95
R316,-51.83,593.57,46.28,Mountain,84.6
R317,12.88,685.33,97.77,Mountain,81.52
R318,-47.76,829.05,37.67,Rocky,83.62
R319,-80.92,760.86,84.9,Flat,57.63
R320,-78.2,664.77,40.13,Mountain,76.16
R321,-41.0,791.42,44.88,Rocky,83.61
R322,14.83,765.2,51.97,Dusty,98.8
R323,19.01,576.26,69.19,Crater,70.79
R324,-3.76,606.0,17.65,Flat,80.69
R325,-39.61,594.18,35.06,Dusty,61.98
R326,-45.97,748.54,66.43,Dusty,67.0
R327,-47.34,705.38,21.54,Sandy,71.77
R328,-44.23,777.35,36.22,Rocky,41.55
R329,-68.6,731.21,92.65,Rocky,55.71
R330,-60.07,706.2,99.69,Crater,81.64
R331,24.84,620.06,26.54,Rocky,67.12
R332,13.35,705.79,22.46,Dusty,98.05
R333,23.46,783.74,75.31,Flat,72.53
R334,12.5,847.98,75.5,Dusty,78.26
R335,1.28,728.06,25.32,Sandy,87.52
R336,-62.78,722.91,45.68,Flat,62.13
R337,2.42,743.08,67.02,Rocky,43.94
R338,-44.21,800.93,55.69,Mountain,86.15
R339,4.68,575.81,97.65,Dusty,44.45
R340,-36.43,731.08,25.91,Flat,78.39
R341,-69.07,888.19,51.77,Rocky,89.88
R342,-30.42,656.44,28.77,Dusty,53.53
R343,18.96,731.61,39.14,Rocky,55.04
R344,-16.97,742.79,25.64,Crater,76.87
R345,-79.26,774.35,65.3,Flat,49.25
R346,-14.25,802.22,66.44,Flat,42.47
R347,9.33,578.43,95.63,Flat,55.88
R348,-65.76,750.25,67.54,Rocky,69.88
R349,-17.88,651.39,96.32,Mountain,54.69
R350,2.85,692.13,53.55,Dusty,43.59
R351,-39.45,719.49,32.34,,48.62
R352,9.07,661.76,98.98,Crater,98.52
R353,-74.96,679.69,62.74,Crater,54.5
R354,-75.91,707.36,26.97,Rocky,57.41
R355,-45.82,765.38,36.1,Sandy,88.81
R356,17.38,802.39,31.14,Sandy,69.9
R357,-30.81,724.57,41.23,Rocky,45.4
R358,-44.78,710.03,35.46,Flat,61.17
R359,-84.19,723.21,90.0,Dusty,80.35
R360,-57.14,552.86,24.14,Sandy,92.95
R361,-6.34,817.35,46.1,Mountain,43.07
R362,-25.39,676.88,39.53,Mountain,70.26
R363,-2.09,647.9,99.07,Dusty,76.66
R364,-75.2,583.84,46.72,Crater,73.47
R365,-47.96,600.49,66.21,Mountain,70.0
R366,-84.79,597.96,43.31,Mountain,71.16
R367,-72.87,862.6,26.88,Flat,59.11
R368,-44.81,765.78,86.62,Flat,60.18
R369,5.25,736.32,75.24,Crater,68.49
R370,-88.09,665.93,24.32,Mountain,75.02
R371,1.63,803.86,73.48,Rocky,75.81
R372,-59.46,779.46,97.62,Flat,74.66
R373,-7.04,754.23,29.49,Dusty,83.27
R374,-0.92,683.07,84.84,Sandy,41.89
R375,19.04,588.46,16.61,Crater,65.13
R376,-42.51,621.36,57.65,Flat,95.23
R377,10.37,807.54,20.29,Sandy,71.12
R378,-25.5,899.34,55.66,Mountain,58.83
R379,-70.08,869.24,44.1,Crater,80.55
R380,9.78,788.26,83.31,Crater,76.6
R381,-67.89,636.28,62.44,Sandy,96.49
R382,22.96,819.91,74.92,Dusty,82.3
R383,-53.54,672.08,94.36,Dusty,56.41
R384,-75.98,786.82,47.27,Mountain,89.1
R385,19.78,831.62,39.69,Crater,97.32
R386,-80.91,873.4,70.76,Dusty,68.74
R387,-66.76,738.5,94.31,Dusty,56.3
R388,-77.44,809.31,35.34,Rocky,80.19
R389,-28.93,773.28,19.46,Mountain,59.82
R390,-35.67,788.42,26.68,Flat,98.67
R391,-71.84,778.51,89.86,Mountain,68.65
R392,-67.06,887.37,42.3,Dusty,43.55
R393,-1.6,778.3,34.74,Dusty,83.39
R394,17.72,869.63,29.88,Sandy,96.04
R395,-85.82,842.67,81.98,Sandy,96.2
R396,20.65,874.11,89.52,Rocky,57.9
R397,-20.68,874.96,43.48,Mountain,99.35
R398,-27.52,722.87,94.78,Flat,68.08
R399,-67.83,589.43,28.81,Mountain,78.9
R400,-7.36,554.93,43.65,Crater,74.07
R401,-2.91,611.42,87.77,Mountain,89.62
R402,-30.74,580.36,71.89,Sandy,98.9
R403,-35.09,877.54,15.58,Mountain,54.13
R404,-3.32,883.91,40.67,Dusty,74.37
R405,-59.92,675.84,35.09,Dusty,47.09
R406,-54.72,691.9,57.71,Dusty,86.19
R407,-10.62,773.55,94.95,Crater,76.88
R408,-64.8,596.75,28.02,Dusty,99.33
R409,-47.03,795.68,92.59,Flat,88.12
R410,4.94,816.65,72.83,Flat,92.39
R411,-80.58,706.36,74.82,Rocky,95.03
R412,-77.1,840.07,91.75,Sandy,74.36
R413,-72.77,664.84,59.23,Rocky,80.82
R414,-7.55,721.09,91.41,Mountain,88.52
R415,-37.86,729.64,53.83,Rocky,73.53
R416,-12.63,657.86,16.85,Crater,88.99
R417,-4.23,752.41,18.85,Crater,82.02
R418,-27.77,571.09,91.01,Mountain,41.9
R419,-42.98,819.14,80.1,Dusty,78.75
R420,-41.66,897.5,47.51,Mountain,62.54
R421,-11.49,781.63,60.84,Dusty,91.62
R422,-76.36,897.5,48.41,Sandy,83.67
R423,-64.39,551.22,16.93,Crater,67.78
R424,-7.3,698.44,47.24,Sandy,54.85
R425,-50.19,646.48,94.68,Dusty,85.93
R426,-86.3,781.07,67.27,Rocky,54.44
R427,-82.26,757.88,52.95,Dusty,82.2
R428,-84.4,809.19,49.19,Sandy,72.39
R429,-3.25,821.62,26.91,Crater,54.05
R430,15.39,751.64,64.09,Dusty,89.1
R431,-62.76,856.69,98.78,Flat,53.26
R432,-55.44,571.34,95.62,Dusty,94.69
R433,-18.01,699.52,57.13,Crater,96.5
R434,-12.8,825.03,42.09,Mountain,64.5
R435,-55.51,614.36,60.72,Sandy,90.96
R436,-55.42,797.65,83.49,Rocky,73.74
R437,21.3,745.05,26.4,Sandy,55.3
R438,-52.02,577.67,53.23,Crater,45.55
R439,-6.67,616.67,37.82,Dusty,76.3
R440,-85.45,575.47,83.4,Flat,83.46
R441,-25.73,717.79,88.91,Crater,58.19
R442,14.53,624.13,31.15,Dusty,47.04
R443,24.95,717.62,35.62,Flat,82.23
R444,-44.39,633.77,42.34,Crater,62.84
R445,-28.63,675.74,37.23,Flat,92.97
R446,-36.41,830.99,76.41,Crater,94.86
R447,-47.37,694.88,62.81,Sandy,84.48
R448,-88.13,743.66,64.64,Dusty,65.05
R449,-72.47,665.45,47.29,Sandy,69.96
R450,-14.72,789.7,36.87,Mountain,97.99
R451,-16.21,721.71,29.3,Crater,50.16
R452,-7.16,720.91,92.94,Flat,99.42
R453,20.08,733.38,86.32,Rocky,96.71
R454,-13.16,817.52,50.05,Dusty,53.89
R455,-8.68,553.2,57.99,Crater,43.63
R456,-16.66,876.87,92.58,Dusty,69.27
R457,-89.24,743.08,16.01,Flat,83.33
R458,-28.39,650.34,57.69,Dusty,80.44
R459,2.71,868.42,24.1,Rocky,71.46
R460,-62.29,766.92,36.46,Crater,56.04
R461,-44.36,680.57,49.51,Flat,54.59
R462,-9.82,654.99,85.39,Rocky,79.22
R463,8.7,815.86,22.95,Mountain,62.63
R464,-35.26,772.86,74.74,Rocky,69.99
R465,-40.1,824.53,63.1,Rocky,93.69
R466,15.7,630.42,91.61,Dusty,93.25
R467,-35.32,566.3,21.32,Crater,93.96
R468,-25.2,561.52,93.95,Crater,40.94
R469,-66.18,600.47,84.76,Mountain,95.73
R470,-55.58,747.39,63.17,Mountain,80.62
R471,-27.84,684.35,77.88,Dusty,83.45
R472,-32.41,891.01,19.56,Mountain,53.93
R473,-81.26,761.81,67.18,Flat,63.8
R474,-1.04,560.37,38.23,Mountain,69.44
R475,-49.08,879.4,51.71,Dusty,75.15
R476,-46.29,820.26,40.11,Sandy,82.79
R477,-80.57,603.98,75.49,Dusty,49.26
R478,-45.19,676.25,22.78,Crater,66.68
R479,-2.45,585.78,22.42,Mountain,66.93
R480,-26.2,692.82,17.23,Crater,73.25
R481,-21.35,824.55,88.42,Rocky,57.51
R482,-45.4,579.64,91.6,Sandy,74.32
R483,-70.5,683.26,26.8,Crater,56.1
R484,-73.22,608.52,38.46,Crater,69.05
R485,-81.15,638.09,35.96,Dusty,69.75
R486,-19.08,710.25,26.52,Rocky,96.93
R487,-51.8,767.07,83.35,Crater,66.41
R488,-40.48,838.24,70.34,Flat,48.17
R489,-53.12,881.55,32.07,Crater,50.66
R490,-44.2,661.7,77.46,Dusty,69.46
R491,-23.77,634.85,46.96,Mountain,61.9
R492,17.19,619.93,99.77,Sandy,80.9
R493,-26.74,883.55,54.24,Dusty,52.58
R494,1.73,840.95,20.88,Mountain,80.38
R495,-73.99,655.99,36.48,Sandy,82.91
R496,0.74,575.89,99.21,Mountain,74.93
R497,-28.55,873.22,88.92,Mountain,72.62
R498,0.93,675.84,91.12,Flat,75.63
R499,15.16,588.28,36.1,Dusty,61.3
R046,23.31,642.82,81.65,Mountain,57.11
