Booking_ID,Hotel_Type,Stay_Days,Room_Price,Guests,City
HB121,Standard,13,16725.0,6,Shimla
HB122,Luxury,13,16002.0,5,Chandigarh
HB123,Resort,14,19452.0,4,Mumbai
HB124,Resort,8,9993.0,2,Chandigarh
HB125,Luxury,13,18581.0,4,Chandigarh
HB126,Standard,5,15913.0,1,Chandigarh
HB127,Luxury,4,10403.0,3,Jaipur
HB128,Budget,3,6442.0,2,Goa
HB129,Standard,12,8510.0,1,Goa
HB130,Resort,6,19280.0,4,Goa
HB131,Budget,4,15267.0,4,Shimla
HB132,Budget,14,20364.0,4,Goa
HB133,Budget,6,11284.0,4,Goa
HB134,Standard,8,8690.0,3,Goa
HB135,Resort,1,14242.0,3,Chandigarh
HB136,Resort,12,6908.0,4,Mumbai
HB137,Budget,15,14411.0,5,Shimla
HB138,Budget,2,22561.0,4,Mumbai
HB139,Resort,3,3147.0,3,Goa
HB140,Luxury,4,16399.0,3,Jaipur
HB141,Resort,5,15313.0,3,Delhi
HB142,Resort,1,19175.0,1,Jaipur
HB143,Standard,11,3748.0,6,Delhi
HB144,Budget,4,8032.0,1,Shimla
HB145,Standard,4,5636.0,4,Chandigarh
HB146,Budget,10,8642.0,4,Chandigarh
HB147,Luxury,13,13587.0,2,Shimla
HB148,Budget,13,6866.0,3,Delhi
HB149,Budget,15,11722.0,5,Chandigarh
HB150,Resort,7,24929.0,2,Delhi
HB151,Standard,2,24345.0,3,Chandigarh
HB152,Budget,13,20044.0,1,Jaipur
HB153,Resort,11,13642.0,1,Shimla
HB154,Luxury,1,15264.0,4,Delhi
HB155,Resort,6,22326.0,4,Chandigarh
HB156,Standard,7,7271.0,6,Shimla
HB157,Luxury,10,19134.0,4,Goa
HB158,Resort,14,20914.0,3,Jaipur
HB159,Standard,14,4339.0,3,Goa
HB160,Standard,13,16727.0,5,Shimla
HB161,Resort,6,2440.0,4,Jaipur
HB162,Standard,8,8450.0,3,Jaipur
HB163,Luxury,5,21034.0,6,Jaipur
HB164,Budget,9,7760.0,1,Mumbai
HB165,Resort,8,19692.0,2,Chandigarh
HB166,Resort,11,24825.0,4,Goa
HB167,Budget,2,11141.0,2,Goa
HB168,Standard,5,23256.0,5,Jaipur
HB169,Resort,9,18897.0,3,Goa
HB170,Luxury,6,24531.0,4,Jaipur
HB171,Luxury,5,9054.0,1,Chandigarh
HB172,Standard,6,5417.0,6,Shimla
HB173,Standard,4,8590.0,6,Goa
HB174,Luxury,12,20819.0,5,Shimla
HB175,Luxury,2,7860.0,3,Mumbai
HB176,Luxury,3,11404.0,1,Chandigarh
HB177,Standard,5,2991.0,1,Shimla
HB178,Luxury,12,5637.0,6,Goa
HB179,Budget,14,1901.0,5,Jaipur
HB016,Luxury,3,13630.0,3,Mumbai
