brand,name,spec_rating,processor,CPU,Ram,Ram_type,SSD_GB,Price
Apple,Apple Model-1046,75,i5,i5,8,DDR4,1024,91057
HP,HP Model-1047,65,Ryzen 7,Ryzen 7,8,DDR4,1024,63684
MSI,MSI Model-1048,73,Ryzen 7,Ryzen 7,32,LPDDR4X,512,85736
MSI,MSI Model-1049,68,i7,i7,8,LPDDR4X,512,66502
MSI,MSI Model-1050,60,i7,i7,16,LPDDR4X,256,65754
Acer,Acer Model-1051,73,Ryzen 7,Ryzen 7,8,DDR4,1024,65394
Lenovo,Lenovo Model-1052,83,i5,i5,16,DDR4,256,50584
Dell,Dell Model-1053,93,Ryzen 5,Ryzen 5,32,LPDDR4X,1024,74314
MSI,MSI Model-1054,76,Ryzen 7,Ryzen 7,16,DDR4,256,64945
HP,HP Model-1055,78,M2,M2,32,DDR5,512,103454
Dell,Dell Model-1056,76,M2,M2,16,DDR5,1024,98140
Asus,Asus Model-1057,87,i7,i7,8,DDR4,1024,71516
HP,HP Model-1058,76,i3,i3,16,DDR5,1024,44323
MSI,MSI Model-1059,60,Ryzen 5,Ryzen 5,32,LPDDR5,1024,70916
HP,HP Model-1060,97,M2,M2,8,DDR4,512,87776
Dell,Dell Model-1061,83,Ryzen 5,Ryzen 5,8,DDR4,512,45076
Lenovo,Lenovo Model-1062,66,i5,i5,32,DDR5,1024,70897
Apple,Apple Model-1063,70,Ryzen 7,Ryzen 7,16,DDR5,256,96950
Asus,Asus Model-1064,75,i3,i3,8,LPDDR4X,512,31435
Dell,Dell Model-1065,90,M2,M2,8,LPDDR5,256,79322
Dell,Dell Model-1066,74,Ryzen 5,Ryzen 5,16,LPDDR4X,256,45693
MSI,MSI Model-1067,64,i5,i5,16,LPDDR4X,512,55286
Lenovo,Lenovo Model-1068,94,M2,M2,32,LPDDR5,1024,112712
HP,HP Model-1069,76,i3,i3,16,DDR5,1024,43313
HP,HP Model-1070,80,Ryzen 7,Ryzen 7,16,LPDDR4X,1024,75574
Acer,Acer Model-1071,72,Ryzen 7,Ryzen 7,8,LPDDR5,1024,63086
HP,HP Model-1072,94,M2,M2,16,DDR4,1024,103126
MSI,MSI Model-1073,87,M2,M2,32,DDR5,512,106323
MSI,MSI Model-1074,67,i7,i7,32,LPDDR4X,1024,93646
Lenovo,Lenovo Model-1075,85,Ryzen 7,Ryzen 7,16,LPDDR5,512,72461
Lenovo,Lenovo Model-1076,84,Ryzen 7,Ryzen 7,8,DDR5,512,64048
MSI,MSI Model-1077,95,i5,i5,32,LPDDR4X,512,72753
Lenovo,Lenovo Model-1078,98,i7,i7,8,LPDDR5,1024,76363
Lenovo,Lenovo Model-1079,73,Ryzen 5,Ryzen 5,16,LPDDR5,1024,60937
Asus,Asus Model-1080,92,M2,M2,8,DDR4,512,88938
MSI,MSI Model-1081,79,Ryzen 7,Ryzen 7,16,DDR4,256,66590
Apple,Apple Model-1082,75,i5,i5,8,DDR4,256,79642
Acer,Acer Model-1083,96,i3,i3,16,LPDDR5,1024,48592
MSI,MSI Model-1084,75,M2,M2,16,LPDDR5,512,91958
MSI,MSI Model-1085,74,M2,M2,8,DDR4,512,83940
Apple,Apple Model-1086,95,M2,M2,32,LPDDR5,256,137791
Apple,Apple Model-1087,93,i3,i3,16,DDR5,512,82828
Acer,Acer Model-1088,88,i7,i7,16,LPDDR5,1024,76303
MSI,MSI Model-1089,77,Ryzen 5,Ryzen 5,16,LPDDR4X,256,54520
Asus,Asus Model-1090,64,M2,M2,8,LPDDR4X,512,82345
Lenovo,Lenovo Model-1091,94,i5,i5,16,LPDDR4X,512,56660
Dell,Dell Model-1092,69,i5,i5,8,LPDDR5,1024,55036
Dell,Dell Model-1093,94,i3,i3,16,LPDDR5,512,45316
Asus,Asus Model-1094,97,i3,i3,8,LPDDR5,512,40447
HP,HP Model-1095,82,Ryzen 7,Ryzen 7,16,LPDDR5,256,62946
Apple,Apple Model-1096,74,Ryzen 5,Ryzen 5,16,DDR5,512,89735
Asus,Asus Model-1097,85,Ryzen 5,Ryzen 5,8,LPDDR5,512,51682
Dell,Dell Model-1098,97,Ryzen 5,Ryzen 5,8,DDR4,512,52873
MSI,MSI Model-1099,89,i3,i3,8,LPDDR5,256,32738
HP,HP Model-1100,89,i7,i7,16,LPDDR4X,256,66927
Lenovo,Lenovo Model-1101,65,Ryzen 5,Ryzen 5,16,LPDDR5,512,51602
HP,HP Model-1102,74,M2,M2,32,DDR4,512,102825
HP,HP Model-1103,72,M2,M2,8,DDR4,256,72166
Acer,Acer Model-1104,67,i5,i5,8,DDR5,512,44370
Dell,Dell Model-1105,70,Ryzen 5,Ryzen 5,32,LPDDR4X,512,66463
Acer,Acer Model-1106,79,M2,M2,32,DDR4,256,93635
Acer,Acer Model-1107,72,i3,i3,16,LPDDR5,512,34622
Acer,Acer Model-1108,79,M2,M2,32,DDR5,256,98355
Acer,Acer Model-1109,94,i3,i3,32,DDR4,512,55009
MSI,MSI Model-1110,86,i7,i7,8,LPDDR4X,256,64515
HP,HP Model-1111,69,Ryzen 5,Ryzen 5,16,LPDDR5,1024,58817
Dell,Dell Model-1112,94,M2,M2,32,LPDDR4X,1024,114460
Asus,Asus Model-1113,75,Ryzen 5,Ryzen 5,32,LPDDR4X,512,63959
Lenovo,Lenovo Model-1114,99,Ryzen 5,Ryzen 5,8,LPDDR5,1024,60723
Asus,Asus Model-1115,71,i7,i7,8,LPDDR5,512,62244
Dell,Dell Model-1116,98,i7,i7,16,LPDDR4X,512,78244
Lenovo,Lenovo Model-1117,75,Ryzen 7,Ryzen 7,8,DDR5,256,57148
Asus,Asus Model-1118,90,Ryzen 5,Ryzen 5,32,DDR5,1024,79291
MSI,MSI Model-1119,78,Ryzen 5,Ryzen 5,16,DDR4,256,52315
Asus,Asus Model-1120,97,M2,M2,8,LPDDR4X,1024,94773
Asus,Asus Model-1121,95,Ryzen 7,Ryzen 7,32,LPDDR4X,512,84959
Lenovo,Lenovo Model-1122,76,M2,M2,16,LPDDR4X,512,88388
HP,HP Model-1123,94,M2,M2,8,LPDDR4X,256,83153
Dell,Dell Model-1124,97,i5,i5,8,LPDDR5,512,53547
Acer,Acer Model-1125,74,i7,i7,8,DDR5,512,59456
Dell,Dell Model-1126,62,i7,i7,8,DDR5,512,55946
Acer,Acer Model-1127,91,i7,i7,32,DDR5,1024,88590
Apple,Apple Model-1128,90,i3,i3,32,LPDDR4X,512,93108
Lenovo,Lenovo Model-1129,67,i5,i5,8,LPDDR4X,512,41785
Asus,Asus Model-1130,69,Ryzen 5,Ryzen 5,8,DDR4,256,41360
Lenovo,Lenovo Model-1131,86,i3,i3,8,DDR4,1024,42966
Acer,Acer Model-1132,88,Ryzen 7,Ryzen 7,8,LPDDR5,512,60435
Apple,Apple Model-1133,99,Ryzen 7,Ryzen 7,16,LPDDR4X,1024,115243
Acer,Acer Model-1134,73,M2,M2,8,DDR5,1024,85417
MSI,MSI Model-1135,95,i3,i3,8,DDR5,256,33364
Dell,Dell Model-1136,98,i3,i3,16,LPDDR5,1024,53349
Lenovo,Lenovo Model-1137,78,i3,i3,8,LPDDR4X,1024,41758
Apple,Apple Model-1138,97,Ryzen 5,Ryzen 5,8,DDR5,512,90666
Apple,Apple Model-1139,74,i5,i5,16,DDR4,1024,100805
Dell,Dell Model-1140,70,i7,i7,8,DDR4,256,55019
Acer,Acer Model-1141,67,M2,M2,32,LPDDR4X,512,98589
MSI,MSI Model-1142,92,i7,i7,32,LPDDR5,512,91423
Asus,Asus Model-1143,80,Ryzen 5,Ryzen 5,8,DDR4,512,49445
Lenovo,Lenovo Model-1144,96,i3,i3,8,DDR5,1024,45309
HP,HP Model-1145,90,M2,M2,16,DDR4,256,88751
MSI,MSI Model-1146,87,Ryzen 5,Ryzen 5,16,DDR5,1024,69950
Apple,Apple Model-1147,86,Ryzen 5,Ryzen 5,8,LPDDR5,512,85230
Lenovo,Lenovo Model-1148,86,M2,M2,8,DDR5,512,86682
Asus,Asus Model-1149,62,i7,i7,32,LPDDR5,1024,86725
HP,HP Model-1150,85,i7,i7,16,LPDDR4X,256,67465
Apple,Apple Model-1151,63,i3,i3,32,LPDDR5,512,84286
Acer,Acer Model-1152,88,i7,i7,32,LPDDR5,1024,87422
Dell,Dell Model-1153,88,i7,i7,32,DDR5,512,87720
Asus,Asus Model-1154,70,i3,i3,8,DDR5,1024,37545
Acer,Acer Model-1155,74,i3,i3,32,LPDDR5,256,42429
Asus,Asus Model-1156,78,i3,i3,32,DDR5,512,54168
MSI,MSI Model-1157,75,i7,i7,16,LPDDR5,512,74491
Acer,Acer Model-1158,92,i5,i5,16,DDR5,1024,62118
Apple,Apple Model-1159,92,i3,i3,16,LPDDR5,512,80188
Apple,Apple Model-1160,97,i3,i3,16,LPDDR4X,1024,91656
Asus,Asus Model-1161,81,i5,i5,16,LPDDR5,512,58271
Apple,Apple Model-1162,72,Ryzen 7,Ryzen 7,16,LPDDR5,512,106713
Dell,Dell Model-1163,62,Ryzen 7,Ryzen 7,16,DDR5,512,64106
MSI,MSI Model-1164,69,Ryzen 5,Ryzen 5,32,LPDDR5,512,69307
HP,HP Model-1165,88,i5,i5,32,LPDDR4X,256,61816
Acer,Acer Model-1166,69,Ryzen 5,Ryzen 5,8,DDR5,512,39862
Asus,Asus Model-1167,65,i7,i7,16,LPDDR5,1024,74441
Apple,Apple Model-1168,91,M2,M2,32,LPDDR5,512,144182
HP,HP Model-1169,78,Ryzen 7,Ryzen 7,8,DDR5,1024,65363
MSI,MSI Model-1170,66,i3,i3,16,DDR4,1024,49134
Dell,Dell Model-1171,80,M2,M2,16,DDR4,256,83459
Lenovo,Lenovo Model-1172,75,i7,i7,16,LPDDR5,256,65601
Asus,Asus Model-1173,71,Ryzen 7,Ryzen 7,32,DDR5,256,71896
Acer,Acer Model-1174,97,Ryzen 5,Ryzen 5,32,DDR5,512,67422
Dell,Dell Model-1175,76,Ryzen 5,Ryzen 5,32,LPDDR4X,512,68462
HP,HP Model-1176,88,Ryzen 5,Ryzen 5,16,DDR5,256,50830
Acer,Acer Model-1177,76,i7,i7,32,LPDDR5,1024,87742
Apple,Apple Model-1178,66,i7,i7,8,LPDDR5,512,95443
Asus,Asus Model-1179,78,Ryzen 7,Ryzen 7,16,LPDDR4X,1024,73179
Apple,Apple Model-1180,96,M2,M2,16,LPDDR4X,256,129618
Apple,Apple Model-1181,74,M2,M2,8,LPDDR5,512,120473
Apple,Apple Model-1182,76,i7,i7,8,DDR5,1024,108552
Apple,Apple Model-1183,66,M2,M2,32,DDR5,1024,145640
MSI,MSI Model-1184,97,i3,i3,16,LPDDR5,256,44238
MSI,MSI Model-1185,86,i5,i5,8,LPDDR4X,512,51938
Dell,Dell Model-1186,92,i5,i5,32,LPDDR4X,1024,77232
Apple,Apple Model-1187,81,i5,i5,16,LPDDR5,512,91193
Asus,Asus Model-1188,85,i3,i3,8,DDR5,1024,43315
Lenovo,Lenovo Model-1189,94,i3,i3,16,DDR4,512,42012
Asus,Asus Model-1190,84,i7,i7,32,LPDDR4X,1024,93730
Lenovo,Lenovo Model-1191,61,i3,i3,32,DDR5,512,49825
Acer,Acer Model-1192,64,i7,i7,32,DDR5,1024,86205
Apple,Apple Model-1193,86,Ryzen 5,Ryzen 5,32,LPDDR4X,1024,110455
Dell,Dell Model-1194,67,i3,i3,8,LPDDR4X,512,27546
Dell,Dell Model-1195,83,Ryzen 7,Ryzen 7,8,LPDDR5,512,64242
MSI,MSI Model-1196,69,M2,M2,32,LPDDR5,1024,111648
MSI,MSI Model-1197,62,i3,i3,16,LPDDR5,512,43154
Lenovo,Lenovo Model-1198,83,i5,i5,16,LPDDR5,256,49063
MSI,MSI Model-1199,85,i7,i7,32,LPDDR4X,256,82510
Dell,Dell Model-1200,73,i3,i3,16,DDR4,1024,48506
MSI,MSI Model-1201,75,Ryzen 7,Ryzen 7,8,DDR4,512,61781
Apple,Apple Model-1202,73,Ryzen 7,Ryzen 7,8,DDR4,1024,105053
Dell,Dell Model-1203,60,i5,i5,16,DDR5,1024,57271
Apple,Apple Model-1204,67,i5,i5,8,LPDDR4X,256,79165
Apple,Apple Model-1205,75,i3,i3,8,DDR4,512,70573
Lenovo,Lenovo Model-1206,68,i3,i3,8,LPDDR4X,256,24948
Acer,Acer Model-1207,88,i3,i3,32,DDR4,512,52965
Acer,Acer Model-1208,74,Ryzen 7,Ryzen 7,8,LPDDR5,1024,66538
HP,HP Model-1209,61,M2,M2,32,LPDDR4X,512,94748
Asus,Asus Model-1210,88,Ryzen 5,Ryzen 5,16,DDR4,512,55102
HP,HP Model-1211,68,i7,i7,32,DDR5,256,73252
Acer,Acer Model-1212,98,M2,M2,32,LPDDR4X,512,106846
Lenovo,Lenovo Model-1213,67,Ryzen 5,Ryzen 5,32,LPDDR5,256,60613
MSI,MSI Model-1214,88,Ryzen 7,Ryzen 7,32,DDR5,512,85871
Asus,Asus Model-1215,66,i7,i7,16,LPDDR5,512,67560
Asus,Asus Model-1216,69,i7,i7,32,LPDDR4X,512,83376
Asus,Asus Model-1217,87,i3,i3,8,DDR4,256,28041
MSI,MSI Model-1218,63,M2,M2,16,DDR5,1024,99554
Acer,Acer Model-1219,82,Ryzen 7,Ryzen 7,16,DDR4,512,69950
Apple,Apple Model-1220,98,Ryzen 5,Ryzen 5,32,DDR4,512,108059
Lenovo,Lenovo Model-1221,90,i3,i3,32,DDR5,256,48837
Apple,Apple Model-1222,77,i3,i3,16,LPDDR4X,256,73953
Dell,Dell Model-1223,77,Ryzen 5,Ryzen 5,32,DDR4,1024,70487
Dell,Dell Model-1224,82,i7,i7,32,LPDDR4X,512,80550
Dell,Dell Model-1225,69,i5,i5,32,LPDDR5,256,62436
HP,HP Model-1226,86,i3,i3,32,DDR5,512,54216
Lenovo,Lenovo Model-1227,80,i5,i5,16,LPDDR4X,1024,64149
Acer,Acer Model-1228,99,i3,i3,8,DDR5,256,28157
MSI,MSI Model-1229,87,i3,i3,16,LPDDR5,1024,54728
Acer,Acer Model-1230,92,Ryzen 5,Ryzen 5,16,LPDDR4X,256,48932
Lenovo,Lenovo Model-1231,97,Ryzen 5,Ryzen 5,8,LPDDR4X,1024,58736
Acer,Acer Model-1232,85,M2,M2,16,DDR4,256,87159
HP,HP Model-1233,68,i3,i3,8,LPDDR4X,256,23093
Lenovo,Lenovo Model-1234,87,i7,i7,8,DDR4,512,62689
Dell,Dell Model-1235,95,Ryzen 5,Ryzen 5,32,DDR5,1024,80222
Apple,Apple Model-1236,62,i7,i7,8,LPDDR5,1024,103073
HP,HP Model-1237,87,Ryzen 5,Ryzen 5,8,LPDDR4X,1024,56447
Asus,Asus Model-1238,67,M2,M2,32,LPDDR5,512,100568
HP,HP Model-1239,83,i7,i7,8,LPDDR5,1024,67471
Asus,Asus Model-1240,85,i3,i3,8,LPDDR5,1024,43042
HP,HP Model-1241,81,Ryzen 5,Ryzen 5,16,LPDDR4X,256,47627
HP,HP Model-1242,92,Ryzen 7,Ryzen 7,32,DDR4,1024,88588
Apple,Apple Model-1243,66,i7,i7,16,DDR5,256,97699
Lenovo,Lenovo Model-1244,64,i5,i5,8,DDR5,1024,48951
Apple,Apple Model-1245,97,M2,M2,16,LPDDR5,1024,139927
MSI,MSI Model-1246,80,Ryzen 7,Ryzen 7,32,LPDDR4X,1024,90236
Asus,Asus Model-1247,79,i3,i3,16,LPDDR5,1024,47500
Acer,Acer Model-1248,89,i3,i3,16,DDR4,512,41952
HP,HP Model-1249,65,i3,i3,16,LPDDR4X,256,33288
