Station_ID,City,Vehicle_Type,Charging_Time,Energy_Consumed,Cost,Charging_Type
S070,Chennai,SUV,89.5,24.5,292.77,Normal
S071,Pune,Bus,125.5,40.9,565.31,Normal
S072,Bengaluru,SUV,101.1,38.8,474.93,Normal
S073,Pune,SUV,37.4,20.6,180.85,Fast
S074,Delhi,Bike,22.8,49.3,507.06,Fast
S075,Chennai,Bike,143.1,9.7,88.39,Normal
S076,Bengaluru,Bus,38.2,33.5,465.97,Fast
S077,Bengaluru,SUV,64.1,28.2,256.56,Fast
S078,Bengaluru,Bus,33.9,48.8,463.07,Fast
S079,Delhi,Car,24.5,36.8,303.6,Fast
S080,Delhi,Bike,31.6,45.5,508.47,Fast
S011,Bengaluru,SUV,110.6,43.6,369.11,Normal
S082,Chennai,SUV,61.8,59.9,704.66,Fast
S083,Pune,SUV,150.3,29.0,373.45,Normal
S084,Delhi,SUV,22.1,47.9,658.96,Fast
S085,Hyderabad,Bus,135.3,31.2,377.02,Normal
S086,Hyderabad,Bike,59.9,53.2,586.15,Fast
S087,Chennai,Car,67.9,35.3,335.81,Normal
S088,Delhi,Bike,57.8,28.8,342.71,Fast
S089,Hyderabad,Bus,69.2,41.7,405.49,Normal
S090,Delhi,SUV,27.4,29.9,372.53,Fast
S091,Bengaluru,SUV,23.0,30.6,368.18,Fast
S092,Pune,SUV,94.9,27.1,292.35,Normal
S093,Hyderabad,Car,125.9,19.5,166.04,Normal
S094,Hyderabad,Car,23.8,41.8,583.85,Fast
S095,Bengaluru,Bus,67.3,27.9,320.54,Fast
S096,Mumbai,Bike,75.9,38.3,423.31,Normal
S097,Delhi,Bike,64.9,40.8,332.48,Fast
S098,Delhi,Bus,108.7,34.9,366.35,Normal
S099,Hyderabad,Bike,36.6,33.3,333.99,Fast
S100,Hyderabad,Car,83.5,8.4,104.49,Normal
